id,movie_id,time,url,img,title,uid,type,count,comment,createtm,lastupdatetm,advance,info,subject_type,user_id,deleted,content_id
389288,1207335,121,http://maoyan.meituan.net/movie/videos/854x480e3a11d67e549445cbcf7f959da4710fa.mp4,http://p0.meituan.net/movie/0cb3d392b4b2b234d4907778f436620c4525.jpg,滴答屋 香港预告片11 (中文字幕),999,1,0,0,2020-04-17 03:01:12,2020-04-17 03:01:12,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480e3a11d67e549445cbcf7f959da4710fa.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320e3a11d67e549445cbcf7f959da4710fa.mp4"",""seq"":0}",0,0,0,805046
389289,1207335,42,http://maoyan.meituan.net/movie/videos/854x480bfb693fafc3849dca1a3131d3a89164e.mp4,http://p0.meituan.net/movie/9b1bc368b88733a428fced0dcec5aea425646.jpg,滴答屋 其它预告片1,999,1,0,0,2020-04-17 03:01:12,2020-04-17 03:01:12,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480bfb693fafc3849dca1a3131d3a89164e.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320bfb693fafc3849dca1a3131d3a89164e.mp4"",""seq"":0}",0,0,0,737663
389290,1206089,124,http://maoyan.meituan.net/movie/videos/854x480e252bacccd5348409e8012edaac1a1b8.mp4,http://p0.meituan.net/movie/71f21aeef5d72e0bd904fac08a5d04a026756.jpg,妈妈咪呀2 片段：Dancing Queen (中文字幕),999,4,0,0,2020-04-17 03:01:14,2020-04-17 03:01:14,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480e252bacccd5348409e8012edaac1a1b8.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320e252bacccd5348409e8012edaac1a1b8.mp4"",""seq"":0}",0,0,0,737664
389291,1180993,120,http://maoyan.meituan.net/movie/videos/854x480edbd79da5d3740e1a603a9f1222d5b53.mp4,http://p0.meituan.net/movie/fc9d9153788fa5dcc0be73f4377891e923111.jpg,花滑女王 片段2：俄罗斯有嘻哈 (中文字幕),999,4,0,0,2020-04-17 03:01:16,2020-04-17 03:01:16,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480edbd79da5d3740e1a603a9f1222d5b53.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320edbd79da5d3740e1a603a9f1222d5b53.mp4"",""seq"":0}",0,0,0,737665
389292,246300,44,http://maoyan.meituan.net/movie/videos/854x4801d27b530e5f6469e82e1f2e67cb0a54f.mp4,http://p1.meituan.net/movie/b66a6366d533c30cbed635ae2cad272f20888.jpg,一生有你 其它花絮：民谣天团,999,2,1,0,2020-04-17 03:01:43,2020-04-17 03:01:43,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x4801d27b530e5f6469e82e1f2e67cb0a54f.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x3201d27b530e5f6469e82e1f2e67cb0a54f.mp4"",""seq"":0}",0,0,0,800052
389293,1197626,92,http://maoyan.meituan.net/movie/videos/854x480c4ec373e4ba34c0b940b380cf6508739.mp4,http://p1.meituan.net/movie/151ce4d31d179b00c42e9f9aa17bc56f15443.jpg,镰仓物语 香港预告片12 (中文字幕),999,1,1,0,2020-04-17 03:01:47,2020-04-17 03:01:48,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480c4ec373e4ba34c0b940b380cf6508739.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320c4ec373e4ba34c0b940b380cf6508739.mp4"",""seq"":0}",0,0,0,815052
389294,1197626,30,http://maoyan.meituan.net/movie/videos/854x480d1772eb8b8f34c3792ca60153fffd86a.mp4,http://p0.meituan.net/movie/b8341ddec27bc4f2e19990ae79eef83913428.jpg,镰仓物语 预告片11：“江之电”版 (中文字幕),999,1,1,0,2020-04-17 03:01:47,2020-04-17 03:01:48,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480d1772eb8b8f34c3792ca60153fffd86a.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320d1772eb8b8f34c3792ca60153fffd86a.mp4"",""seq"":0}",0,0,0,737666
389295,1197626,162,http://maoyan.meituan.net/movie/videos/854x4802cb03cd633684c818066c47bf309ee9e.mp4,http://p0.meituan.net/movie/680cf86ac636728c963026bb8e1d03d110741.jpg,镰仓物语 其它花絮3：发布会特辑 (中文字幕),999,2,1,0,2020-04-17 03:01:49,2020-04-17 03:01:49,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x4802cb03cd633684c818066c47bf309ee9e.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x3202cb03cd633684c818066c47bf309ee9e.mp4"",""seq"":0}",0,0,0,732931
389296,1217402,46,http://maoyan.meituan.net/movie/videos/854x4804555bb97f1af4520a92aa497c1beec5c.mp4,http://p0.meituan.net/movie/b200495a9ffe3df5f6cd68ca23daaed728105.jpg,李茶的姑妈 其它花絮3 (中文字幕),999,2,0,0,2020-04-17 03:01:57,2020-04-17 03:01:57,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x4804555bb97f1af4520a92aa497c1beec5c.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x3204555bb97f1af4520a92aa497c1beec5c.mp4"",""seq"":0}",0,0,0,755714
389297,42964,39,http://maoyan.meituan.net/movie/videos/854x480e22968890ed041bdb47a2ba3b8c71fab.mp4,http://p0.meituan.net/movie/4b97a06bdbea562664fedb2654c47e3224076.jpg,毒液：致命守护者 片段2：亡命狂飙 (中文字幕),999,4,4,0,2020-04-17 03:03:19,2020-04-17 03:03:19,0,"{""episodes"":0,""highVideoUrl"":""http://maoyan.meituan.net/movie/videos/854x480e22968890ed041bdb47a2ba3b8c71fab.mp4"",""ifFakeUrl"":0,""ifVip"":0,""lowVideoUrl"":""http://maoyan.meituan.net/movie/videos/568x320e22968890ed041bdb47a2ba3b8c71fab.mp4"",""seq"":0}",0,0,0,732932
